time(1)          time(2)          stran(1)         stran(2)         stran(3)         stran(4)         stran(5)         stran(6)         stress(1)        stress(2)        stress(3)        stress(4)        stress(5)        stress(6)        statev(001)      statev(002)      statev(003)      statev(004)      statev(005)      statev(006)      statev(007)      statev(008)      statev(009)      statev(010)      statev(011)      statev(012)      statev(013)      statev(014)      statev(015)      statev(016)      statev(017)      statev(018)      statev(019)      statev(020)      statev(021)      statev(022)      statev(023)      statev(024)      statev(025)      statev(026)      statev(027)      statev(028)      statev(029)      statev(030)      statev(031)      statev(032)      statev(033)      statev(034)      statev(035)      statev(036)      statev(037)      statev(038)      statev(039)      statev(040)      statev(041)      statev(042)      statev(043)      statev(044)      statev(045)      statev(046)      statev(047)      statev(048)      statev(049)      statev(050)      statev(051)      statev(052)      statev(053)      statev(054)      statev(055)      statev(056)      statev(057)      statev(058)      statev(059)      statev(060)      statev(061)      statev(062)      statev(063)      statev(064)      statev(065)      statev(066)      statev(067)      statev(068)      
 0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       -36.080702       -36.080702       -36.080702        0.0000000        0.0000000        0.0000000       0.51700000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.25000000E-04   0.25000000E-04   -.99685946E-04   0.64456739E-05   0.64456739E-05    0.0000000        0.0000000        0.0000000       -45.600034       -36.080702       -36.080702        0.0000000        0.0000000        0.0000000       0.55986461        0.0000000       0.14078960E-03    39.563292        5.0000000        1.0000000       0.76357493E-01    0.0000000        0.0000000        99.999929        100.00004        100.00004        0.0000000        0.0000000        0.0000000        90300.000        1.6277603        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       0.12255024E-03    1.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.50000000E-04   0.50000000E-04   -.19937189E-03   0.12590737E-04   0.12590737E-04    0.0000000        0.0000000        0.0000000       -52.399002       -36.080702       -36.080702        0.0000000        0.0000000        0.0000000       0.55972829        0.0000000       0.26514954E-03    42.374847        5.0000000        1.0000000       0.13089411        0.0000000        0.0000000        99.999859        100.00007        100.00007        0.0000000        0.0000000        0.0000000        75206.450        1.3556818        0.0000000        0.0000000        0.0000000        1.0000000       0.24475336E-03    0.0000000       0.24475336E-03    0.0000000       0.18365180E-03   0.24475336E-03    1.0000000        0.0000000       0.24475336E-03    0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.75000000E-04   0.75000000E-04   -.29905784E-03   0.22051409E-04   0.22051409E-04    0.0000000        0.0000000        0.0000000       -57.736553       -36.080702       -36.080702        0.0000000        0.0000000        0.0000000       0.55960232        0.0000000       0.39042886E-03    44.733587        5.0000000        1.0000000       0.17370825        0.0000000        0.0000000        99.999786        100.00011        100.00011        0.0000000        0.0000000        0.0000000        68868.574        1.2414344        0.0000000        0.0000000        0.0000000        1.0000000       0.37078502E-03    0.0000000       0.37078502E-03    0.0000000       0.30776919E-03   0.37078502E-03    1.0000000        0.0000000       0.37078502E-03    0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.10000000E-03   0.10000000E-03   -.39874378E-03   0.33336372E-04   0.33336372E-04    0.0000000        0.0000000        0.0000000       -62.206805       -36.080702       -36.080702        0.0000000        0.0000000        0.0000000       0.55948206        0.0000000       0.50472036E-03    46.796404        5.0000000        1.0000000       0.20956552        0.0000000        0.0000000        99.999712        100.00014        100.00014        0.0000000        0.0000000        0.0000000        63212.099        1.1394700        0.0000000        0.0000000        0.0000000        1.0000000       0.49892319E-03    0.0000000       0.49892319E-03    0.0000000       0.45621046E-03   0.49892319E-03    1.0000000        0.0000000       0.49892319E-03    0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.12500000E-03   0.12500000E-03   -.49842973E-03   0.47564717E-04   0.47564717E-04    0.0000000        0.0000000        0.0000000       -65.791324       -36.080702       -36.080702        0.0000000        0.0000000        0.0000000       0.55937098        0.0000000       0.61119579E-03    48.500189        5.0000000        1.0000000       0.23831805        0.0000000        0.0000000        99.999636        100.00018        100.00018        0.0000000        0.0000000        0.0000000        58100.786        1.0473328        0.0000000        0.0000000        0.0000000        1.0000000       0.63046008E-03    0.0000000       0.63046008E-03    0.0000000       0.58661445E-03   0.63046008E-03    1.0000000        0.0000000       0.63046008E-03    0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.15000000E-03   0.15000000E-03   -.59811567E-03   0.64236350E-04   0.64236350E-04    0.0000000        0.0000000        0.0000000       -68.786819       -36.080702       -36.080702        0.0000000        0.0000000        0.0000000       0.55926753        0.0000000       0.71004922E-03    49.954471        5.0000000        1.0000000       0.26234584        0.0000000        0.0000000        99.999558        100.00022        100.00022        0.0000000        0.0000000        0.0000000        55475.000       0.96429459        0.0000000        0.0000000        0.0000000        1.0000000       0.76481824E-03    0.0000000       0.76481824E-03    0.0000000       0.72003219E-03   0.76481824E-03    1.0000000        0.0000000       0.76481824E-03    0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.17500000E-03   0.17500000E-03   -.69780162E-03   0.82711515E-04   0.82711515E-04    0.0000000        0.0000000        0.0000000       -71.617851       -36.080702       -36.080702        0.0000000        0.0000000        0.0000000       0.55916971        0.0000000       0.81240477E-03    51.352146        5.0000000        1.0000000       0.28505442        0.0000000        0.0000000        99.999480        100.00026        100.00026        0.0000000        0.0000000        0.0000000        55475.000       0.88968141        0.0000000        0.0000000        0.0000000        1.0000000       0.90125894E-03    0.0000000       0.90125894E-03    0.0000000       0.85577871E-03   0.90125894E-03    1.0000000        0.0000000       0.90125894E-03    0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.20000000E-03   0.20000000E-03   -.79748757E-03   0.10323063E-03   0.10323063E-03    0.0000000        0.0000000        0.0000000       -74.289176       -36.080702       -36.080702        0.0000000        0.0000000        0.0000000       0.55907827        0.0000000       0.92108001E-03    52.689674        5.0000000        1.0000000       0.30648194        0.0000000        0.0000000        99.999400        100.00030        100.00030        0.0000000        0.0000000        0.0000000        55475.000       0.82232409        0.0000000        0.0000000        0.0000000        1.0000000       0.10400598E-02    0.0000000       0.10400598E-02    0.0000000       0.10053596E-02   0.10400598E-02    1.0000000        0.0000000       0.10400598E-02    0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
0.22500000E-03   0.22500000E-03   -.89717351E-03   0.12477368E-03   0.12477368E-03    0.0000000        0.0000000        0.0000000       -76.903238       -36.080702       -36.080702        0.0000000        0.0000000        0.0000000       0.55899003        0.0000000       0.10319740E-02    54.015504        5.0000000        1.0000000       0.32745014        0.0000000        0.0000000        99.999319        100.00034        100.00034        0.0000000        0.0000000        0.0000000        55475.000       0.76185388        0.0000000        0.0000000        0.0000000        1.0000000       0.11800430E-02    0.0000000       0.11800430E-02    0.0000000       0.11450472E-02   0.11800430E-02    1.0000000        0.0000000       0.11800430E-02    0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       
